restaurant_name,address_restaurant,stars,open_time,cost_restaurant,cost_service,voucher
Bánh Mì Bà Huynh - Cống Quỳnh,"185k Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,06:00 - 22:00,30.000 - 58.000, 0.0% Phí phục vụ , VIB giảm 30k
Bánh Mì Huynh Hoa - Bánh Mì Pate,"26 Lê Thị Riêng, P. Bến Thành, Quận 1, TP. HCM",4.5,06:00 - 22:00,38.000 - 38.000, 2.0% Phí phục vụ , VIB giảm 30k
Gà Rán & Burger McDonald's Đa Kao,"2 - 6 Bis Điện Biên Phủ, Quận 1, TP. HCM",4.5,00:00 - 23:59,50.000 - 200.000, 0.0% Phí phục vụ , VIB giảm 30k
Cháo Sườn Cô Giang - Đinh Tiên Hoàng,"14B Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",4.5,00:00 - 23:59,15.000 - 29.000, 0.0% Phí phục vụ , VIB giảm 30k
Gà Rán & Burger McDonald's Ben Thanh,"2-2A Trần Hưng Đạo, P. Bến Thành, Quận 1, TP. HCM",4.5,00:00 - 23:59,50.000 - 200.000, 0.0% Phí phục vụ , VIB giảm 30k
Mì Ý Double B - Trần Hưng Đạo,"Hẻm 391 TK40/24 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",4.5,08:00 - 22:00,17.000 - 75.000, 0.0% Phí phục vụ , VIB giảm 30k
Cơm Gà Hải Nam - Calmette,"205-207 Calmette, P. Nguyễn Thái Bình, Quận 1, TP. HCM",4.5,09:00 - 20:30,50.000 - 100.000, 0.0% Phí phục vụ , VIB giảm 30k
Giò Chả Minh Châu - Lý Tự Trọng,"238 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",4.5,06:15 - 17:55,100.000 - 330.000, 0.0% Phí phục vụ , VIB giảm 30k
Cơm Văn Phòng Tuấn Kiệt - 25Bis Cô Giang,"25Bis Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",4.5,08:00 - 20:00,0 - 0, 0.0% Phí phục vụ , VIB giảm 30k
"Bento Delichi - Cơm Gà Xối Mỡ, Cơm Gà Mắm Tỏi - Quận 1","19/2 Nguyễn Thị Minh Khai, Bến Nghé, Quận 1, TP. HCM",4.5,08:00 - 21:00,40.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Cơm Chiên & Nui Xào Bò - Cống Quỳnh,"102/12 Cống Quỳnh, Quận 1, TP. HCM",4.5,00:00 - 02:30 | 13:30 - 23:59,15.000 - 33.000, 0.0% Phí phục vụ , VIB giảm 30k
Út Hương - Cơm & Món Xào,"TK18/1 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",4.5,07:30 - 23:59,35.000 - 220.000, 0.0% Phí phục vụ , VIB giảm 30k
Bánh Mì Trạng - Lương Hữu Khánh,"4 Lương Hữu Khánh, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,06:00 - 21:30,20.000 - 50.000, 0.0% Phí phục vụ , VIB giảm 30k
Cơm Chay Diệu Vy - Đề Thám,"61 Đề Thám, P. Cô Giang, Quận 1, TP. HCM",4.5,06:00 - 21:00,15.000 - 35.000, 0.0% Phí phục vụ , VIB giảm 30k
Mỳ Ý Spaghetti To Go - Trần Hưng Đạo,"393/9 Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",4.5,07:35 - 21:30,25.000 - 95.000, 0.0% Phí phục vụ , VIB giảm 30k
Thành Đạt - Hủ Tiếu Nam Vang - Nguyễn Hữu Cầu,"22B Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",4.5,00:00 - 23:59,45.000 - 65.000, 0.0% Phí phục vụ , VIB giảm 30k
Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi,"212A/A37 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,08:00 - 23:00,19.000 - 79.000, 0.0% Phí phục vụ , VIB giảm 30k
Cơm Tấm Bụi Sài Gòn - Thạch Thị Thanh,"100 Thạch Thị Thanh, P. Tân Định, Quận 1, TP. HCM",4.5,06:30 - 22:00,30.000 - 55.000, 0.0% Phí phục vụ , VIB giảm 30k
Burger King - Phạm Ngũ Lão,"275 - 277 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Quận 1, TP. HCM",4.5,08:45 - 23:59,80.000 - 121.000, 0.0% Phí phục vụ , VIB giảm 30k
Hey Pelo - Original French Tacos - Trần Khắc Chân,"Số 60 Trần Khắc Chân, P.Tân Định, Quận 1, TP. HCM",4.5,10:30 - 22:15,30.000 - 110.000, 0.0% Phí phục vụ , VIB giảm 30k
Bready Bánh Mì Tươi - Burger Đĩa Bay - Mạc Đĩnh Chi,"62 Mạc Đĩnh Chi, P. Đakao, Quận 1, TP. HCM",4.5,06:20 - 21:30,40.000 - 66.000, 0.0% Phí phục vụ , VIB giảm 30k
Con Gà Mái - Cơm Gà Phú Yên - Trần Cao Vân,"21A Trần Cao Vân, P. Đa Kao, Quận 1, TP. HCM",4.5,07:00 - 21:30,10.000 - 280.000, 0.0% Phí phục vụ , VIB giảm 30k
Gà Rán KFC - Trịnh Văn Cấn - Nguyễn Thái Học,"35 Trịnh Văn Cấn, P. Cầu Ông Lãnh, Quận 1, TP. HCM",4.5,09:15 - 21:15,30.000 - 88.000, 0.0% Phí phục vụ , VIB giảm 30k
